ID	Disease Name	MeSH Scope Note
D000082602	Developmental Dysplasia of the Hip	Dislocation of the HIP JOINT from an abnormal FEMORAL HEAD to the ACETABULUM relationship. It is most often due to ligamentous laxity, abnormal positioning of the joint and various other developmental, congenital factors, and method of delivery (e.g., OLIGOHYDRAMNIOS). When dislocation is diagnosed in neonates it is referred to as CONGENITAL HIP DYSPLASIA.
D000082643	Cerebral Cortical Thinning	Decrease in CEREBRAL CORTICAL THICKNESS.
D000082802	Warburg Effect, Oncologic	An observation in neoplastic cellular transformation, characterized by an increased glucose uptake via glycolytic activities resulting in an increased LACTATE production under aerobic microenvironment.
D000082843	Ovarian Torsion	A condition that occurs when an ovary twists around the ligaments that hold it in place. This twisting can cut off blood flow. It usually affects only one ovary.
D000082862	Aortic Valve Disease	Diseases involving the AORTIC VALVE functionality. Aortic valve disease often results in a backward and/or regurgitated blood flow into the LEFT VENTRICLE or a decreased blood flow from the heart. It includes congenital (e.g., bicuspid aortic valve), syndromic, and acquired (e.g., age-related, infection-associated) conditions.
D000082882	Bicuspid Aortic Valve Disease	Congenital heart valve defects where the AORTIC VALVE has two instead of normal three cusps. It is often associated with AORTIC REGURGITATION and AORTIC INSUFFICIENCY.
D000082902	Quadricuspid Aortic Valve	Congenital malformation where the AORTIC VALVE has four instead of three cusps. It is often associated with AORTIC REGURGITATION and AORTIC VALVE STENOSIS.
D000082903	Aortico-Ventricular Tunnel	Congenital anomaly characterized by an extra-cardiac channel connecting the AORTA either to the right or left HEART VENTRICLE.
D000083023	Colitis-Associated Neoplasms	Colonic neoplasms associated with chronic inflammation conditions such as ULCERATIVE COLITIS and CROHN DISEASE.
D000083082	Popliteal Artery Entrapment Syndrome	Entrapment of the POPLITEAL ARTERY in the LEG due to an abnormal course of the artery often associated with onset of development and/or overuse of the gastrocnemius or popliteus muscles on the back of the leg. It is most often associated with runners and other athletes with enlarged calf muscle that compresses the popliteal artery.
D000083083	Laminopathies	Congenital neuromuscular and muscular dystrophy diseases associated with mutations in the LAMIN TYPE A (Lamin A/C or LMNA gene). It includes CARDIOMYOPATHY, DILATED, 1A; CHARCOT-MARIE-TOOTH DISEASE, type 2B1; EMERY-DREIFUSS MUSCULAR DYSTROPHY, types 2 and 3; HUTCHINSON-GILFORD PROGERIA SYNDROME; LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2; Malouf syndrome; Mandibuloacral dysplasia; LMNA-related muscular dystrophy; Restrictive dermopathy, lethal; Heart-hand syndrome, Slovenian type.
D000083102	Reinjuries	Damage inflicted on the same body part as a previous injury.
D000083143	X-Linked Emery-Dreifuss Muscular Dystrophy	Emery-Dreifuss muscular dystrophy associated with mutations on emerin (EMD gene) or four and a half LIM domains 1 (FHL1 gene) both located on X chromosome.
D000083144	Autosomal Emery-Dreifuss Muscular Dystrophy	Emery-Dreifuss muscular dystrophy associated with mutations on LAMINS (LMNA gene).
D000083182	Chronic Exertional Compartment Syndrome	Compartment syndrome characterized by pain in muscle groups with elevated compartment pressures due most often exercise training in athletes. Most often encountered chronic exertional compartment syndrome is in the anterior or deep posterior compartments of the lower leg in athletes in training similar to POPLITEAL ARTERY ENTRAPMENT SYNDROME.
D000083242	Ischemic Stroke	Stroke due to BRAIN ISCHEMIA resulting in interruption or reduction of blood flow to a part of the brain. When obstruction is due to a BLOOD CLOT formed within in a cerebral blood vessel it is a thrombotic stroke. When obstruction is formed elsewhere and moved to block a cerebral blood vessel (see CEREBRAL EMBOLISM) it is referred to as embolic stroke. Wake-up stroke refers to ischemic stroke occurring during sleep while cryptogenic stroke refers to ischemic stroke of unknown origin.
D000083244	Thrombotic Stroke	A type of ischemic stroke resulting from obstruction due to a BLOOD CLOT formed within in a CEREBRAL ARTERY often associated with ATHEROSCLEROSIS. A stroke due to a blood clot in a cerebral vein is a venous infarction (see VENOUS INFARCTION, BRAIN).
D000083262	Embolic Stroke	An ischemic stroke due to a blood clot, emboli or other types of blockage which forms somewhere other than the brain and subsequently travels near and restricts blood flow to the brain. Most often the origin of the clot is from the heart and is referred to as cardioembolic stroke.
D000083302	Hemorrhagic Stroke	Stroke due to rupture of a weakened blood vessel in the brain (e.g., CEREBRAL HEMISPHERES; CEREBELLUM; SUBARACHNOID SPACE).
D000083402	Persistent Left Superior Vena Cava	Finding of the SUPERIOR VENA CAVA on the left instead of the usual right side of the ASCENDING AORTA. In bilateral superior vena cava it is found on both sides.
D000083682	Opiate Overdose	Accidental or deliberate use of an OPIOID in excess of normal dosage. It includes overdose for prescription and illicit opioids.
D000084002	Tinea cruris	Fungal infection of the groin. The main causative fungus is TRICHOPHYTON.
D000084063	Reinfection	Infection by the same infectious agent following a recovery. Reinfection may be by a different strain or  the same strain.
D000084122	Cardiac Papillary Fibroelastoma	Primary tumors, predominantly of the CARDIAC VALVES, characterized by multiple papillary frond structures. Although histologically benign, they may result in complications (e.g., valve dysfunction, EMBOLISM; STROKE; and SUDDEN DEATH).
D000084202	Chemotherapy-Related Cognitive Impairment	The diminished or impaired mental and/or intellectual function associated with the chemical treatment of cancer.
D000084322	Semicircular Canal Dehiscence	A vestibular disorder caused by a pathologic third window into the BONY LABYRINTH (in contrast to the normal ROUND WINDOW OF EAR and the OVAL WINDOW OF EAR). It can present with autophony, sound- or pressure-induced VERTIGO, and chronic disequilibrium among other vestibulocochlear symptoms.(From: Semin Neurol. 2020 Jan 27; 48: 58-65.)
D000084462	Hyperthermia	An abnormal elevation of body temperature, usually as a result of inability to regulate core body temperature due to non-pathologic factors.
D000085142	Severe Fever with Thrombocytopenia Syndrome	A tick-borne infection with SEVERE FEVER WITH THROMBOCYTOPENIA SYNDROME BUNYAVIRUS of the genus Phlebovirus. It is associated with fever, THROMBOCYTOPENIA; LEUKOCYTOPENIA, and multiorgan dysfunction. It is found in parts of Asia including China, Japan, Korea and Vietnam and can be transmitted from infected domestic animals and humans.
D000085343	Latent Infection	Delayed infection of the host by a dormant or inactive pathogen.
D000085583	Hyperferritinemia	A finding of elevated serum level of FERRITIN. It is often associated with IRON OVERLOAD, repeated blood transfusions, malignancy, iron metabolic syndromes, virus infection, liver injury or dysfunction, and renal failure. Hyperferritinemia in iron metabolic syndromes (e.g., Still's diseases, and HEMOPHAGOCYTIC SYNDROME) is referred to as dysmetabolic hyperferritinemia.
D000086002	Mesothelioma, Malignant	A type of mesothelioma with a tendency to metastasize.  Most tumors originate from either the PLEURA or PERITONEUM, tumors may also originate in the PERICARDIUM or testicular tissue. It is associated with ASBESTOS exposure. Somatic mutations identified in WT1, BCL10, CDKN2A, NF2, and BAP1 genes are associated with the malignancy. OMIM: 156240.
D000086382	COVID-19	A viral disorder generally characterized by high FEVER; COUGH; DYSPNEA; CHILLS; PERSISTENT TREMOR; MUSCLE PAIN; HEADACHE; SORE THROAT; a new loss of taste and/or smell (see AGEUSIA and ANOSMIA) and other symptoms of a VIRAL PNEUMONIA. In severe cases, a myriad of coagulopathy associated symptoms often correlating with COVID-19 severity is seen (e.g., BLOOD COAGULATION; THROMBOSIS; ACUTE RESPIRATORY DISTRESS SYNDROME; SEIZURES; HEART ATTACK; STROKE; multiple CEREBRAL INFARCTIONS; KIDNEY FAILURE; catastrophic ANTIPHOSPHOLIPID ANTIBODY SYNDROME and/or DISSEMINATED INTRAVASCULAR COAGULATION). In younger patients, rare inflammatory syndromes are sometimes associated with COVID-19 (e.g., atypical KAWASAKI SYNDROME; TOXIC SHOCK SYNDROME; pediatric multisystem inflammatory disease; and CYTOKINE STORM SYNDROME). A coronavirus, SARS-CoV-2, in the genus BETACORONAVIRUS is the causative agent.
D000086582	Anosmia	Complete or severe loss of the subjective sense of smell. Loss of smell may be caused by many factors such as a cold, allergy, OLFACTORY NERVE DISEASES, viral RESPIRATORY TRACT INFECTIONS (e.g., COVID-19), aging and various neurological disorders (e.g., ALZHEIMER DISEASE).
D000086722	Rhinorrhea	Excess nasal drainage.
D000086965	Viral Zoonoses	Viral infections that may be transmitted between non-human animals and HUMANS.
D000086966	Bacterial Zoonoses	Bacterial infections that may be transmitted between non-human animals and HUMANS.
D000086982	Blood-Borne Infections	Diseases due to or propagated by body fluids from hosts whose BLOOD has been contaminated with pathogens.
D000087122	Mania	A state of elevated excitement with over-activity sometimes accompanied with psychotic symptoms (e.g., PSYCHOMOTOR AGITATION, inflated SELF ESTEEM and flight of ideas). It is often associated with mental disorders (e.g., CYCLOTHYMIC DISORDER; and BIPOLAR DISEASES).
D000087505	Diaschisis	Loss or decreased brain function within intact region of the brain distant from the site of the lesion.
D000087525	Radiation Fibrosis Syndrome	Radiation-induced fibrosis due to increased production of FIBRIN. Its symptoms include CERVICAL DYSTONIA, difficulty with speech and swallowing, swelling in the radiation field and TRISMUS.
D000088282	Corticobasal Degeneration	Rare progressive neurological disorder characterized by Parkinsonism, cortical atrophy of multiple areas of the brain including the cerebral cortex and the basal ganglia, cognitive dysfunction and eye movement abnormalities.
D000088323	Vascular Depression	Late-life depression associated with clinical or MRI defined cerebrovascular pathology.
D000088442	MINOCA	Myocardial infarction in the absence of obstructive coronary artery disease. CORONARY CIRCULATION disruption is due to various other factors such as ATHEROSCLEROTIC PLAQUE and CORONARY VASOSPASM.
D000088562	Persistent Infection	Infection which lasts for a long period with continuous display of clinical features. Persistent infection arises due to inability of host cells to clear primary infections completely. When persistent infections are cleared so that infection symptoms are under control they are often referred to as chronic infections. LATENT INFECTIONS are infections in which manifestation of clinical symptoms appear later.
D000089083	Body Odor	Strong or unusual odor related to the body. Occasional abnormal body odor may be a temporary effect of a metabolic change.
D000089183	Axial Spondyloarthritis	A spectrum of chronic inflammatory conditions affecting the axial joints (e.g., SPINE), characterized by pain, stiffness of joints (ANKYLOSIS), reduced mobility and inflammation. When joint inflammation and damage are visible on regular X-rays it is called ANKYLOSING SPONDYLITIS; otherwise it is referred to as NON-RADIOGRAPHIC AXIAL SPONDYLOARTHRITIS. HLA-B27 ANTIGEN is a biomarker and IL-23/IL-17 pathway a potential therapeutic target for axial and other related spondyloarthritis.
D000089202	Non-Radiographic Axial Spondyloarthritis	Chronic inflammatory conditions affecting the axial joints which cannot be detectable on x-rays. It is characterized by pain, stiffness of joints and inflammation. Non-radiographic axial spondyloarthritis can have symptoms onset before the age of 45 and progress to more severe ANKYLOSING SPONDYLITIS over time.
D000089802	Chronic Limb-Threatening Ischemia	A severe form of peripheral artery disease in which a hypoperfusion of the BLOOD through an organ or tissue is caused by occlusion of peripheral arterial vessels. It is associated with the presence of chronic ischemic rest pain, ulceration or GANGRENE.
D000089965	Erythema Ab Igne	A cutaneous finding caused by prolonged heat exposure (e.g., space heater) and local heat injury (e.g., caused by LASER THERAPY). It is characterized by epidermal atrophy, reticular hyperpigmentation, and telangiectatic dermatosis.
D000090004	Ambulatory Care Sensitive Conditions	Various health conditions in OUTPATIENT CARE settings for which adequate management, treatment and interventions delivered in the ambulatory care setting could potentially prevent HOSPITALIZATION.
D000090122	Livedoid Vasculopathy	A rare cutaneous thrombotic disease due to occlusion of dermal vessels. It is characterized by purpuric maculae and ulcerations especially during summer which form scars called atrophie blanche. It is more associated with other syndromes (e.g., PROTEIN C DEFICIENCY; HYPERHOMOCYSTEINEMIA).
D000090124	Intestinal Failure	Various intestinal diseases functionally defined as having reduced intestine function requiring PARENTERAL NUTRITION.
D000090267	Mast Cell Activation Syndrome	A clinically and genetically heterogeneous group of mast cell disorders in which there is aberrant release of mast cell mediators with little to no accompanying proliferation of MAST CELLS.
D000090303	Focal Facial Dermal Dysplasias	A heterogenous group of genetic disorders characterized by scar-like atrophic lesions on the temple region of the head including preauricular area. Location of skin defects is likely related to defects in fusion of embryonic facial prominences during development of the face. Focal facial dermal dysplasia (FFDD) is generally divided into four subtypes according to the location of the lesions and inheritance pattern: FFDD1 (Brauer syndrome); FFDD2 (Brauer-Setleis syndrome); FFDD3 (Setleis syndrome); and FFDD4. Mutations in TWIST2 Protein and/or CYP26C1 (see CYP26 FAMILY) are associated with FFDD3, and 4.
D000090362	Mast Cell Activation Disorders	A spectrum of primary, secondary, and idiopathic disorders involving MAST CELLS and characterized by an aberrant release of mast cell mediators which result in multiple and variable inflammatory and allergic symptoms. These disorders are associated with various mutations in tyrosine kinase KIT (PROTO-ONCOGENE PROTEINS C-KIT) and other genes, underlying conditions, and responses to allergic or non-allergic triggers of mast cell stimulation and degranulation such as local anesthetics, lactam antibiotics, muscle relaxants, specific foods, environmental toxins, physical conditions such as vibration, cold, pressure, and stress.
D000090463	Iron Deficiencies	Deficient amounts of iron in the body as a result of blood loss, diets deficient in iron, or an iron uptake or storage disorder.
D000090542	Homozygous Familial Hypercholesterolemia	A rare inherited genetic disorder, one form of HYPERLIPOPROTEINEMIA TYPE II, characterized by high level of LOW-DENSITY LIPOPROTEIN (LDL) which if not treated could elevate the chance of heart attack at an early age.
D000090862	Neuroinflammatory Diseases	Diseases characterized by inflammation of the nervous tissue.
D000090882	Thromboinflammation	Thrombosis with associated inflammation due to crosstalk between HEMOSTASIS and INNATE IMMUNE RESPONSES modulated by PLATELETS. It is associated with many diseases such as COVID-19; SICKLE CELL ANEMIA; and THROMBOPHLEBITIS.
D000091323	Psychogenic Nonepileptic Seizures	Seizures caused by psychological factors without electrophysiological epileptic changes.
D000091622	Weight Cycling	Repeated cycles of weight loss followed by weight gain.
D000091642	Urogenital Diseases	Pathological processes of the URINARY TRACT and the reproductive system (GENITALIA).
D000091662	Genital Diseases	Pathological processes involving the reproductive tract (GENITALIA).
D000126	Achlorhydria	A lack of HYDROCHLORIC ACID in GASTRIC JUICE despite stimulation of gastric secretion.
D000130	Achondroplasia	An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)
D000137	Acid-Base Imbalance	Disturbances in the ACID-BASE EQUILIBRIUM of the body.
D000138	Acidosis	A pathologic condition of acid accumulation or depletion of base in the body. The two main types are RESPIRATORY ACIDOSIS and metabolic acidosis, due to metabolic acid build up.
D000140	Acidosis, Lactic	Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.
D000141	Acidosis, Renal Tubular	A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS.
D000142	Acidosis, Respiratory	Respiratory retention of carbon dioxide. It may be chronic or acute.
D000151	Acinetobacter Infections	Infections with bacteria of the genus ACINETOBACTER.
D000152	Acne Vulgaris	A chronic disorder of the pilosebaceous apparatus associated with an increase in sebum secretion. It is characterized by open comedones (blackheads), closed comedones (whiteheads), and pustular nodules. The cause is unknown, but heredity and age are predisposing factors.
D000153	Acne Keloid	A type of acneiform disorder in which secondary pyogenic infection in and around pilosebaceous structures ends in keloidal scarring. It manifests as persistent folliculitis of the back of the neck associated with occlusion of the follicular orifices. It is most often encountered in black or Asian men.
D000160	Vestibulocochlear Nerve Diseases	Pathological processes of the VESTIBULOCOCHLEAR NERVE, including the branches of COCHLEAR NERVE and VESTIBULAR NERVE. Common examples are VESTIBULAR NEURITIS, cochlear neuritis, and ACOUSTIC NEUROMA. Clinical signs are varying degree of HEARING LOSS; VERTIGO; and TINNITUS.
D000163	Acquired Immunodeficiency Syndrome	An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.
D000168	Acrocephalosyndactylia	Congenital craniostenosis with syndactyly.
D000169	Acrodermatitis	Inflammation involving the skin of the extremities, especially the hands and feet. Several forms are known, some idiopathic and some hereditary. The infantile form is called Gianotti-Crosti syndrome.
D000170	Acrodynia	A condition seen primarily in childhood, most often resulting from chronic exposure to MERCURY COMPOUNDS which may result in encephalopathy and POLYNEUROPATHY. Clinical features include pain, swelling and pinkish discoloration of the fingers and toes, weakness in the extremities, extreme irritability, HYPERESTHESIA, and alterations in level of consciousness. (From Menkes, Textbook of Child Neurology, 5th ed, p603)
D000172	Acromegaly	A condition caused by prolonged exposure to excessive HUMAN GROWTH HORMONE in adults. It is characterized by bony enlargement of the FACE; lower jaw (PROGNATHISM); hands; FEET; HEAD; and THORAX. The most common etiology is a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. (From Joynt, Clinical Neurology, 1992, Ch36, pp79-80)
D000182	ACTH Syndrome, Ectopic	Symptom complex due to ACTH production by non-pituitary neoplasms.
D000187	Actinobacillosis	A disease characterized by suppurative and granulomatous lesions in the respiratory tract, upper alimentary tract, skin, kidneys, joints, and other tissues. Actinobacillus lignieresii infects cattle and sheep while A. equuli infects horses and pigs.
D000189	Actinobacillus Infections	Infections with bacteria of the genus ACTINOBACILLUS.
D000193	Actinomycetales Infections	Infections with bacteria of the order ACTINOMYCETALES.
D000196	Actinomycosis	Infections with bacteria of the genus ACTINOMYCES.
D000197	Actinomycosis, Cervicofacial	A form of ACTINOMYCOSIS characterized by slow-growing inflammatory lesions of the lymph nodes that drain the mouth (lumpy jaw), reddening of the overlying skin, and intraperitoneal abscesses.
D000208	Acute Disease	Disease having a short and relatively severe course.
D000210	Acute-Phase Reaction	An early local inflammatory reaction to insult or injury that consists of fever, an increase in inflammatory humoral factors, and an increased synthesis by hepatocytes of a number of proteins or glycoproteins usually found in the plasma.
D000219	Adams-Stokes Syndrome	A condition of fainting spells caused by heart block, often an atrioventricular block, that leads to BRADYCARDIA and drop in CARDIAC OUTPUT. When the cardiac output becomes too low, the patient faints (SYNCOPE). In some cases, the syncope attacks are transient and in others cases repetitive and persistent.
D000224	Addison Disease	An adrenal disease characterized by the progressive destruction of the ADRENAL CORTEX, resulting in insufficient production of ALDOSTERONE and HYDROCORTISONE. Clinical symptoms include ANOREXIA; NAUSEA; WEIGHT LOSS; MUSCLE WEAKNESS; and HYPERPIGMENTATION of the SKIN due to increase in circulating levels of ACTH precursor hormone which stimulates MELANOCYTES.
D000230	Adenocarcinoma	A malignant epithelial tumor with a glandular organization.
D000231	Adenocarcinoma, Papillary	An adenocarcinoma containing finger-like processes of vascular connective tissue covered by neoplastic epithelium, projecting into cysts or the cavity of glands or follicles. It occurs most frequently in the ovary and thyroid gland. (Stedman, 25th ed)
D000232	Adenofibroma	A benign neoplasm composed of glandular and fibrous tissues, with a relatively large proportion of glands. (Stedman, 25th ed)
D000235	Adenolymphoma	A benign tumor characterized histologically by tall columnar epithelium within a lymphoid tissue stroma. It is usually found in the salivary glands, especially the parotid.
D000236	Adenoma	A benign epithelial tumor with a glandular organization.
D000237	Adenoma, Basophil	A small tumor of the anterior lobe of the pituitary gland whose cells stain with basic dyes. It may give rise to excessive secretion of ACTH, resulting in CUSHING SYNDROME. (Dorland, 27th ed)
D000238	Adenoma, Chromophobe	A benign tumor of the anterior pituitary in which the cells do not stain with acidic or basic dyes.
D000239	Adenoma, Acidophil	A benign tumor, usually found in the anterior lobe of the pituitary gland, whose cells stain with acid dyes. Such pituitary tumors may give rise to excessive secretion of growth hormone, resulting in gigantism or acromegaly. A specific type of acidophil adenoma may give rise to nonpuerperal galactorrhea. (Dorland, 27th ed)
D000257	Adenoviridae Infections	Virus diseases caused by the ADENOVIRIDAE.
D000258	Adenovirus Infections, Human	Respiratory and conjunctival infections caused by 33 identified serotypes of human adenoviruses.
D000267	Tissue Adhesions	Pathological processes consisting of the union of the opposing surfaces of a wound.
D000270	Adie Syndrome	A syndrome characterized by a TONIC PUPIL that occurs in combination with decreased lower extremity reflexes. The affected pupil will respond more briskly to accommodation than to light (light-near dissociation) and is supersensitive to dilute pilocarpine eye drops, which induce pupillary constriction. Pathologic features include degeneration of the ciliary ganglion and postganglionic parasympathetic fibers that innervate the pupillary constrictor muscle. (From Adams et al., Principles of Neurology, 6th ed, p279)
D000274	Adiposis Dolorosa	A rare disease characterized by multiple tumor-like fatty deposits that press on nerves in various sites causing pain and weakness. Often these lipoma-like structures are located on the trunk and limbs but not on the face and hands.
D000291	Adnexal Diseases	Diseases of the uterine appendages (ADNEXA UTERI) including diseases involving the OVARY, the FALLOPIAN TUBES, and ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT).
D000292	Pelvic Inflammatory Disease	A spectrum of inflammation involving the female upper genital tract and the supporting tissues. It is usually caused by an ascending infection of organisms from the endocervix. Infection may be confined to the uterus (ENDOMETRITIS), the FALLOPIAN TUBES; (SALPINGITIS); the ovaries (OOPHORITIS), the supporting ligaments (PARAMETRITIS), or may involve several of the above uterine appendages. Such inflammation can lead to functional impairment and infertility.
D000303	Adrenal Cortex Diseases	Pathological processes of the ADRENAL CORTEX.
D000306	Adrenal Cortex Neoplasms	Tumors or cancers of the ADRENAL CORTEX.
D000307	Adrenal Gland Diseases	Pathological processes of the ADRENAL GLANDS.
D000308	Adrenocortical Hyperfunction	Excess production of ADRENAL CORTEX HORMONES such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and/or ANDROSTENEDIONE. Hyperadrenal syndromes include CUSHING SYNDROME; HYPERALDOSTERONISM; and VIRILISM.
D000309	Adrenal Insufficiency	Conditions in which the production of adrenal CORTICOSTEROIDS falls below the requirement of the body. Adrenal insufficiency can be caused by defects in the ADRENAL GLANDS, the PITUITARY GLAND, or the HYPOTHALAMUS.
D000310	Adrenal Gland Neoplasms	Tumors or cancer of the ADRENAL GLANDS.
D000312	Adrenal Hyperplasia, Congenital	A group of inherited disorders of the ADRENAL GLANDS, caused by enzyme defects in the synthesis of cortisol (HYDROCORTISONE) and/or ALDOSTERONE leading to accumulation of precursors for ANDROGENS. Depending on the hormone imbalance, congenital adrenal hyperplasia can be classified as salt-wasting, hypertensive, virilizing, or feminizing. Defects in STEROID 21-HYDROXYLASE; STEROID 11-BETA-HYDROXYLASE; STEROID 17-ALPHA-HYDROXYLASE; 3-beta-hydroxysteroid dehydrogenase (3-HYDROXYSTEROID DEHYDROGENASES); TESTOSTERONE 5-ALPHA-REDUCTASE; or steroidogenic acute regulatory protein; among others, underlie these disorders.
D000314	Adrenal Rest Tumor	Neoplasm derived from displaced cells (rest cells) of the primordial ADRENAL GLANDS, generally in patients with CONGENITAL ADRENAL HYPERPLASIA. Adrenal rest tumors have been identified in TESTES; LIVER; and other tissues. They are dependent on ADRENOCORTICOTROPIN for growth and adrenal steroid secretion.
D000326	Adrenoleukodystrophy	An X-linked recessive disorder characterized by the accumulation of saturated very long chain fatty acids in the LYSOSOMES of ADRENAL CORTEX and the white matter of CENTRAL NERVOUS SYSTEM. This disease occurs almost exclusively in the males. Clinical features include the childhood onset of ATAXIA; NEUROBEHAVIORAL MANIFESTATIONS; HYPERPIGMENTATION; ADRENAL INSUFFICIENCY; SEIZURES; MUSCLE SPASTICITY; and DEMENTIA. The slowly progressive adult form is called adrenomyeloneuropathy. The defective gene ABCD1 is located at Xq28, and encodes the adrenoleukodystrophy protein (ATP-BINDING CASSETTE TRANSPORTERS).
D000334	Aerophagy	Spasmodic swallowing of air.
D000343	Afferent Loop Syndrome	A complication of gastrojejunostomy (BILLROTH II PROCEDURE), a reconstructive GASTROENTEROSTOMY. It is caused by acute (complete) or chronic (intermittent) obstruction of the afferent jejunal loop due to HERNIA, intussusception, kinking, VOLVULUS, etc. It is characterized by PAIN and VOMITING of BILE-stained fluid.
D000347	Afibrinogenemia	A deficiency or absence of FIBRINOGEN in the blood.
D000355	African Horse Sickness	An insect-borne reovirus infection of horses, mules and donkeys in Africa and the Middle East; characterized by pulmonary edema, cardiac involvement, and edema of the head and neck.
D000357	African Swine Fever	A sometimes fatal ASFIVIRUS infection of pigs, characterized by fever, cough, diarrhea, hemorrhagic lymph nodes, and edema of the gallbladder. It is transmitted between domestic swine by direct contact, ingestion of infected meat, or fomites, or mechanically by biting flies or soft ticks (genus Ornithodoros).
D000361	Agammaglobulinemia	An immunologic deficiency state characterized by an extremely low level of generally all classes of gamma-globulin in the blood.
D000370	Ageusia	Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.
D000377	Agnosia	Loss of the ability to comprehend the meaning or recognize the importance of various forms of stimulation that cannot be attributed to impairment of a primary sensory modality. Tactile agnosia is characterized by an inability to perceive the shape and nature of an object by touch alone, despite unimpaired sensation to light touch, position, and other primary sensory modalities.
D000380	Agranulocytosis	A decrease in the number of GRANULOCYTES; (BASOPHILS; EOSINOPHILS; and NEUTROPHILS).
D000381	Agraphia	Loss or impairment of the ability to write (letters, syllables, words, or phrases) due to an injury to a specific cerebral area or occasionally due to emotional factors. This condition rarely occurs in isolation, and often accompanies APHASIA. (From Adams et al., Principles of Neurology, 6th ed, p485; APA, Thesaurus of Psychological Index Terms, 1994)
D000382	Agricultural Workers' Diseases	Diseases in persons engaged in cultivating and tilling soil, growing plants, harvesting crops, raising livestock, or otherwise engaged in husbandry and farming. The diseases are not restricted to farmers in the sense of those who perform conventional farm chores: the heading applies also to those engaged in the individual activities named above, as in those only gathering harvest or in those only dusting crops.
D000386	AIDS-Related Complex	A prodromal phase of infection with the human immunodeficiency virus (HIV). Laboratory criteria separating AIDS-related complex (ARC) from AIDS include elevated or hyperactive B-cell humoral immune responses, compared to depressed or normal antibody reactivity in AIDS; follicular or mixed hyperplasia in ARC lymph nodes, leading to lymphocyte degeneration and depletion more typical of AIDS; evolving succession of histopathological lesions such as localization of Kaposi's sarcoma, signaling the transition to the full-blown AIDS.
D000387	Ainhum	Spontaneous autoamputation of the fourth or fifth toe.
D000402	Airway Obstruction	Any hindrance to the passage of air into and out of the lungs.
D000405	Akinetic Mutism	A syndrome characterized by a silent and inert state without voluntary motor activity despite preserved sensorimotor pathways and vigilance. Bilateral FRONTAL LOBE dysfunction involving the anterior cingulate gyrus and related brain injuries are associated with this condition. This may result in impaired abilities to communicate and initiate motor activities. (From Adams et al., Principles of Neurology, 6th ed, p348; Fortschr Neurol Psychiatr 1995 Feb;63(2):59-67)
D000417	Albinism	General term for a number of inherited defects of amino acid metabolism in which there is a deficiency or absence of pigment in the eyes, skin, or hair.
D000419	Albuminuria	The presence of albumin in the urine, an indicator of KIDNEY DISEASES.
D000425	Alcohol Amnestic Disorder	A mental disorder associated with chronic ethanol abuse (ALCOHOLISM) and nutritional deficiencies characterized by short term memory loss, confabulations, and disturbances of attention. (Adams et al., Principles of Neurology, 6th ed, p1139)
D000430	Alcohol Withdrawal Delirium	An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include CONFUSION; DELUSIONS; vivid HALLUCINATIONS; TREMOR; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175)
D000435	Alcoholic Intoxication	An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.
